"State","Country","report_date","yoy_pct_change"
"New South Wales","Australia",2020-02-18,0.04
"Queensland","Australia",2020-02-18,0.05
"Victoria","Australia",2020-02-18,-0.1
"Alberta","Canada",2020-02-18,0.02
"British Columbia","Canada",2020-02-18,0.08
"Ontario","Canada",2020-02-18,-0.16
"Quebec","Canada",2020-02-18,0.06
"Baja California Sur","Mexico",2020-02-18,-0.06
"Jalisco","Mexico",2020-02-18,0.08
"Mexico City","Mexico",2020-02-18,-0.08
"Nuevo Leon","Mexico",2020-02-18,-0.12
"Quintana Roo","Mexico",2020-02-18,0.02
"Alabama","United States",2020-02-18,-0.14
"Arizona","United States",2020-02-18,0
"California","United States",2020-02-18,-0.02
"Colorado","United States",2020-02-18,0.01
"Connecticut","United States",2020-02-18,0.08
"District of Columbia","United States",2020-02-18,-0.05
"Florida","United States",2020-02-18,0
"Georgia","United States",2020-02-18,0
"Hawaii","United States",2020-02-18,0
"Illinois","United States",2020-02-18,-0.04
"Indiana","United States",2020-02-18,0.21
"Kansas","United States",2020-02-18,0.39
"Kentucky","United States",2020-02-18,0.11
"Louisiana","United States",2020-02-18,-0.06
"Maryland","United States",2020-02-18,0.06
"Massachusetts","United States",2020-02-18,0
"Michigan","United States",2020-02-18,-0.12
"Minnesota","United States",2020-02-18,-0.11
"Missouri","United States",2020-02-18,0.32
"Nebraska","United States",2020-02-18,0.3
"Nevada","United States",2020-02-18,-0.19
"New Jersey","United States",2020-02-18,0.03
"New Mexico","United States",2020-02-18,0.18
"New York","United States",2020-02-18,-0.01
"North Carolina","United States",2020-02-18,0.04
"Ohio","United States",2020-02-18,-0.08
"Oklahoma","United States",2020-02-18,0.51
"Oregon","United States",2020-02-18,0.04
"Pennsylvania","United States",2020-02-18,0.03
"Rhode Island","United States",2020-02-18,0.08
"South Carolina","United States",2020-02-18,0.08
"Tennessee","United States",2020-02-18,0.01
"Texas","United States",2020-02-18,0
"Utah","United States",2020-02-18,0
"Virginia","United States",2020-02-18,0.06
"Washington","United States",2020-02-18,0.09
"Wisconsin","United States",2020-02-18,0.03
"New South Wales","Australia",2020-02-19,-0.07
"Queensland","Australia",2020-02-19,0.02
"Victoria","Australia",2020-02-19,-0.07
"Alberta","Canada",2020-02-19,0.1
"British Columbia","Canada",2020-02-19,-0.03
"Ontario","Canada",2020-02-19,-0.04
"Quebec","Canada",2020-02-19,0.09
"Baja California Sur","Mexico",2020-02-19,-0.02
"Jalisco","Mexico",2020-02-19,0.09
"Mexico City","Mexico",2020-02-19,-0.09
