"City","report_date","yoy_pct_change","State","Country"
"Calgary",2020-03-16,-0.73,"Alberta","Canada"
"Edmonton",2020-03-16,-0.64,"Alberta","Canada"
"Vancouver",2020-03-16,-0.53,"British Columbia","Canada"
"Toronto",2020-03-16,-0.76,"Ontario","Canada"
"Montréal",2020-03-16,-0.66,"Quebec","Canada"
"Hamburg",2020-03-16,-0.76,"","Germany"
"München",2020-03-16,-0.66,"","Germany"
"Dublin",2020-03-16,-0.71,"","Ireland"
"Ciudad de México",2020-03-16,-0.58,"Mexico City","Mexico"
"San Pedro Garza García",2020-03-16,-0.65,"Nuevo Leon","Mexico"
"London",2020-03-16,-0.61,"","United Kingdom"
"Phoenix",2020-03-16,-0.66,"Arizona","United States"
"Scottsdale",2020-03-16,-0.54,"Arizona","United States"
"Los Angeles",2020-03-16,-0.82,"California","United States"
"San Diego",2020-03-16,-0.62,"California","United States"
"San Francisco",2020-03-16,-0.8,"California","United States"
"Denver",2020-03-16,-0.56,"Colorado","United States"
"Washington",2020-03-16,-0.76,"District of Columbia","United States"
"Fort Lauderdale",2020-03-16,-0.46,"Florida","United States"
"Miami",2020-03-16,-0.46,"Florida","United States"
"Miami Beach",2020-03-16,-0.43,"Florida","United States"
"Naples",2020-03-16,-0.53,"Florida","United States"
"Orlando",2020-03-16,-0.53,"Florida","United States"
"Tampa",2020-03-16,-0.48,"Florida","United States"
"Atlanta",2020-03-16,-0.78,"Georgia","United States"
"Honolulu",2020-03-16,-0.4,"Hawaii","United States"
"Chicago",2020-03-16,-0.75,"Illinois","United States"
"Indianapolis",2020-03-16,-0.71,"Indiana","United States"
"Louisville",2020-03-16,-0.75,"Kentucky","United States"
"New Orleans",2020-03-16,-0.63,"Louisiana","United States"
"Baltimore",2020-03-16,-0.75,"Maryland","United States"
"Boston",2020-03-16,-0.81,"Massachusetts","United States"
"Minneapolis",2020-03-16,-0.76,"Minnesota","United States"
"Las Vegas",2020-03-16,-0.58,"Nevada","United States"
"New York",2020-03-16,-0.77,"New York","United States"
"Charlotte",2020-03-16,-0.68,"North Carolina","United States"
"Raleigh",2020-03-16,-0.68,"North Carolina","United States"
"Cincinnati",2020-03-16,-1,"Ohio","United States"
"Columbus",2020-03-16,-1,"Ohio","United States"
"Portland",2020-03-16,-0.61,"Oregon","United States"
"Philadelphia",2020-03-16,-0.85,"Pennsylvania","United States"
"Pittsburgh",2020-03-16,-0.63,"Pennsylvania","United States"
"Nashville",2020-03-16,-0.7,"Tennessee","United States"
"Austin",2020-03-16,-0.71,"Texas","United States"
"Dallas",2020-03-16,-0.61,"Texas","United States"
"Houston",2020-03-16,-0.61,"Texas","United States"
"San Antonio",2020-03-16,-0.59,"Texas","United States"
"Seattle",2020-03-16,-0.83,"Washington","United States"
"Calgary",2020-03-15,-0.54,"Alberta","Canada"
"Edmonton",2020-03-15,-0.46,"Alberta","Canada"
"Vancouver",2020-03-15,-0.36,"British Columbia","Canada"
"Toronto",2020-03-15,-0.54,"Ontario","Canada"
"Montréal",2020-03-15,-0.42,"Quebec","Canada"
"Hamburg",2020-03-15,-0.55,"","Germany"
"München",2020-03-15,-0.53,"","Germany"
"Dublin",2020-03-15,-0.7,"","Ireland"
